Journals,name,count,url,num_pages,is_completed
"Journal of Law and Economics, University of Chicago Press",Journal of Law & Economics,1493,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=96820&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,30,True
"Energy Economics, Elsevier",Energy Economics,4523,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=98313&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,91,True
"Journal of Business Venturing, Elsevier",Journal of Business Venturing,1259,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=102897&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,26,True
"The Journal of Business, University of Chicago Press",Journal of Business,2713,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=105171&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,55,True
"Journal of Environmental Economics and Management, Elsevier",Journal of Environmental Economics and Management,2187,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=107831&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,44,True
"Economics Letters, Elsevier",Economics Letters,11973,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=110051&SID=5Dut5gSxXYOEeMYak1r&search_mode=AdvancedSearch&update_back2search_link_param=yes,240,False
"Journal of Economic Behavior & Organization, Elsevier",Journal of Economic Behavior & Organization,5207,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=52&SID=6CyNCCZkODd2PahX3wx&search_mode=AdvancedSearch&update_back2search_link_param=yes,105,True
"Applied Energy, Elsevier",Applied Energy,16591,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=208&SID=6CyNCCZkODd2PahX3wx&search_mode=AdvancedSearch&update_back2search_link_param=yes,332,False
"Ecological Economics, Elsevier",Ecological Economics,6260,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=6478&SID=6CyNCCZkODd2PahX3wx&search_mode=AdvancedSearch&update_back2search_link_param=yes,126,True
"Journal of Urban Economics, Elsevier",Journal of Urban Economics,2210,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=6666&SID=6CyNCCZkODd2PahX3wx&search_mode=AdvancedSearch&update_back2search_link_param=yes,45,True
"Journal of Financial and Quantitative Analysis, Cambridge University Press",Journal of Financial and Quantitative Analysis,2769,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=6667&SID=6CyNCCZkODd2PahX3wx&search_mode=AdvancedSearch&update_back2search_link_param=yes,56,True
"Journal of Risk and Uncertainty, Springer",Journal of Risk and Uncertainty,827,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=6668&SID=6CyNCCZkODd2PahX3wx&search_mode=AdvancedSearch&update_back2search_link_param=yes,17,True
"Journal of Economic Dynamics and Control, Elsevier",Journal of Economic Dynamics & Control,3652,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=6669&SID=6CyNCCZkODd2PahX3wx&search_mode=AdvancedSearch&update_back2search_link_param=yes,74,True
"Journal of Health Economics, Elsevier",Journal of Health Economics,2232,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=6670&SID=6CyNCCZkODd2PahX3wx&search_mode=AdvancedSearch&update_back2search_link_param=yes,45,True
"Journal of Law, Economics, and Organization, Oxford University Press","Journal of Law, Economics, & Organization",786,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=6671&SID=6CyNCCZkODd2PahX3wx&search_mode=AdvancedSearch&update_back2search_link_param=yes,16,True
"Journal of Financial Markets, Elsevier",Journal of Financial Markets,473,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=6672&SID=6CyNCCZkODd2PahX3wx&search_mode=AdvancedSearch&update_back2search_link_param=yes,10,True
"Journal of Accounting Research, Wiley Blackwell",Journal of Accounting Research,2094,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=6673&SID=6CyNCCZkODd2PahX3wx&search_mode=AdvancedSearch&update_back2search_link_param=yes,42,True
"Games and Economic Behavior, Elsevier",Games and Economic Behavior,2984,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=23481&SID=6CyNCCZkODd2PahX3wx&search_mode=AdvancedSearch&update_back2search_link_param=yes,60,True
"Labour Economics, Elsevier",Labour Economics,1430,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=24908&SID=6CyNCCZkODd2PahX3wx&search_mode=AdvancedSearch&update_back2search_link_param=yes,29,True
"Econometrics Journal, Royal Economic Society",Econometrics Journal,395,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=26357&SID=6CyNCCZkODd2PahX3wx&search_mode=AdvancedSearch&update_back2search_link_param=yes,8,True
"Economic Policy, CEPR;CES;MSH",Economic Policy,425,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=26747&SID=6CyNCCZkODd2PahX3wx&search_mode=AdvancedSearch&update_back2search_link_param=yes,9,True
"American Political Science Review, Cambridge University Press",American Political Science Review,26612,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=27106&SID=6CyNCCZkODd2PahX3wx&search_mode=AdvancedSearch&update_back2search_link_param=yes,533,False
"Journal of Empirical Finance, Elsevier",Journal of Empirical Finance,871,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=27107&SID=6CyNCCZkODd2PahX3wx&search_mode=AdvancedSearch&update_back2search_link_param=yes,18,True
"Journal of Corporate Finance, Elsevier",Journal of Corporate Finance,1604,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=27994&SID=6CyNCCZkODd2PahX3wx&search_mode=AdvancedSearch&update_back2search_link_param=yes,33,True
"Review of Finance, European Finance Association",Review of Finance,567,https://apps.webofknowledge.com/summary.do?product=WOS&doc=1&qid=29624&SID=6CyNCCZkODd2PahX3wx&search_mode=AdvancedSearch&update_back2search_link_param=yes,12,True
